title,link,publication_time,author,image_url,summary
"Golkar Respons Usulan UU Anti-Flexing: Hal Sederhana Tak Perlu Diatur, Ruwet",https://news.detik.com/berita/d-8104021/golkar-respons-usulan-uu-anti-flexing-hal-sederhana-tak-perlu-diatur-ruwet,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/community/media/visual/2025/03/07/sarmuji-1741332302990_169.jpeg?w=700&q=90,Tidak ada ringkasan
Ngiler! Ini 5 Mie Ayam Terenak di Jakarta Versi Netizen X,https://food.detik.com/info-kuliner/d-8103686/ngiler-ini-5-mie-ayam-terenak-di-jakarta-versi-netizen-x,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Ratusan Mahasiswa Desak 17+8 Tuntutan Rakyat Dipenuhi di Gedung DPR,https://www.detik.com/edu/perguruan-tinggi/d-8103933/ratusan-mahasiswa-desak-17-8-tuntutan-rakyat-dipenuhi-di-gedung-dpr,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Video: Motif Laras Faizati Ajak Bakar Mabes Polri,https://20.detik.com/detikupdate/20250909-250909062/video-motif-laras-faizati-ajak-bakar-mabes-polri,Tidak ada waktu,Tidak diketahui,https://cdnv.detik.com/videoservice/AdminTV/2025/09/09/369578ec406940b39d7a257f3b3fb440-20250909160427-0s.jpg?w=250&q=90,Tidak ada ringkasan
"Video: Massa Mahasiswa Demo di Gedung DPR, Kawal Tuntutan 17+8",https://20.detik.com/detikupdate/20250909-250909060/video-massa-mahasiswa-demo-di-gedung-dpr-kawal-tuntutan-17-8,Tidak ada waktu,Tidak diketahui,https://cdnv.detik.com/videoservice/AdminTV/2025/09/09/aef47e2e540a42e5b48d5d3aa98bf1bd-20250909154203-0s.jpg?w=250&q=90,Tidak ada ringkasan
Video: Momen Budi Arie Serahkan Jabatan Menteri Koperasi ke Ferry Juliantono,https://20.detik.com/detikupdate/20250909-250909061/video-momen-budi-arie-serahkan-jabatan-menteri-koperasi-ke-ferry-juliantono,Tidak ada waktu,Tidak diketahui,https://cdnv.detik.com/videoservice/AdminTV/2025/09/09/ab73f7c5d45d435ca22b833769d9bc7c-20250909155635-0s.jpg?w=250&q=90,Tidak ada ringkasan
"Ruang Senja, Project Musik Duo Asal Bandung yang Menyapa Lewat Tak Semua Dalam Kendalimu",https://www.detik.com/pop/music/d-8103150/ruang-senja-project-musik-duo-asal-bandung-yang-menyapa-lewat-tak-semua-dalam-kendalimu,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Atari Ungkap Harga dan Jadwal Rilis Konsol Genggam Gamestation Go,https://inet.detik.com/games-news/d-8103614/atari-ungkap-harga-dan-jadwal-rilis-konsol-genggam-gamestation-go,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Hujan Angin, Pohon Tumbang Timpa Sejumlah Mobil di Kecamatan Kebon Jeruk",https://news.detik.com/berita/d-8103900/hujan-angin-pohon-tumbang-timpa-sejumlah-mobil-di-kecamatan-kebon-jeruk,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Gerai Mi di Pandeglang Belum Punya Izin Operasional, Pemkab Beri Teguran",https://news.detik.com/berita/d-8104032/gerai-mi-di-pandeglang-belum-punya-izin-operasional-pemkab-beri-teguran,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
