title,link,category,publication_time,author,image_url,summary
EDUSPORTS: Kapan Jaring Gawang Sepak Bola Mulai Digunakan?,https://www.cnnindonesia.com/olahraga/20250909205510-146-1271851/edusports-kapan-jaring-gawang-sepak-bola-mulai-digunakan,Olahraga,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Isi Pidato Remaja Nepal yang Sulut Amarah Gen Z hingga Demo Besar,https://www.cnnindonesia.com/internasional/20250913081435-113-1273207/isi-pidato-remaja-nepal-yang-sulut-amarah-gen-z-hingga-demo-besar,Internasional,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Kata-kata Janice Tjen Usai Pecah Rekor 23 Tahun Indonesia,https://www.cnnindonesia.com/olahraga/20250913093904-170-1273214/kata-kata-janice-tjen-usai-pecah-rekor-23-tahun-indonesia,Olahraga,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Metode Jalan Kaki Ini Lebih Ampuh daripada 10 Ribu Langkah per Hari,https://www.cnnindonesia.com/gaya-hidup/20250911175125-255-1272702/metode-jalan-kaki-ini-lebih-ampuh-daripada-10-ribu-langkah-per-hari,Gaya Hidup,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Biar Ginjal Tetap Sehat, Apa Saja Makanan yang Harus Dihindari?",https://www.cnnindonesia.com/gaya-hidup/20250912141628-255-1272979/biar-ginjal-tetap-sehat-apa-saja-makanan-yang-harus-dihindari,Gaya Hidup,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Thom Haye: Debut yang Gila Bersama Persib,https://www.cnnindonesia.com/olahraga/20250913105457-142-1273244/thom-haye-debut-yang-gila-bersama-persib,Olahraga,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Biar Ginjal Tetap Sehat, Apa Saja Makanan yang Harus Dihindari?",https://www.cnnindonesia.com/gaya-hidup/20250912141628-255-1272979/biar-ginjal-tetap-sehat-apa-saja-makanan-yang-harus-dihindari,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://akcdn.detik.net.id/visual/2018/07/19/7d67579f-e494-4c6f-8235-dadbc54200ad_169.jpeg?w=170&q=90,Tidak ada ringkasan
Lini Masa Pembunuhan Charlie Kirk hingga Penangkapan Tersangka,https://www.cnnindonesia.com/internasional/20250913003516-134-1273177/lini-masa-pembunuhan-charlie-kirk-hingga-penangkapan-tersangka,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://akcdn.detik.net.id/visual/2025/09/11/fbi-rilis-foto-buronan-terduga-penembak-charlie-kirk-1757608248622_169.png?w=170&q=90,Tidak ada ringkasan
"Janice Tjen Pecah Rekor 23 Tahun Indonesia, Lolos Semifinal Sao Paulo",https://www.cnnindonesia.com/olahraga/20250913061313-170-1273190/janice-tjen-pecah-rekor-23-tahun-indonesia-lolos-semifinal-sao-paulo,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://akcdn.detik.net.id/visual/2025/08/28/janice-tjen-vs-emma-raducanu-1756315844687_169.jpeg?w=170&q=90,Tidak ada ringkasan
Pengakuan Tersangka Culik Kepala Cabang Bank Ilham Pradipta,https://www.cnnindonesia.com/nasional/20250913023622-12-1273183/pengakuan-tersangka-culik-kepala-cabang-bank-ilham-pradipta,Tidak ada kategori,Tidak ada waktu,Tidak diketahui,https://akcdn.detik.net.id/visual/2019/05/11/f75e356e-86bf-4e86-bfd0-baa713aea981_169.jpeg?w=170&q=90,Tidak ada ringkasan
