title,link,publication_time,author,image_url,summary
"Gempa M 7,4 Guncang Timur Jauh Rusia, Peringatan Tsunami Dirilis",https://news.detik.com/internasional/d-8110004/gempa-m-7-4-guncang-timur-jauh-rusia-peringatan-tsunami-dirilis,Tidak ada waktu,Tidak diketahui,https://awsimages.detik.net.id/community/media/visual/2023/02/09/ilustrasi-gempa_169.jpeg?w=700&q=90,Tidak ada ringkasan
"Tren Kecantikan Tenniscore, Perpaduan Sporty & Elegan yang Lagi Hits",https://wolipop.detik.com/makeup-and-skincare/d-8110066/tren-kecantikan-tenniscore-perpaduan-sporty-elegan-yang-lagi-hits,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Uya Kuya Baru Pulangkan Jenazah TKI ke Jember Sebelum Temui Sherina,https://hot.detik.com/celeb/d-8110033/uya-kuya-baru-pulangkan-jenazah-tki-ke-jember-sebelum-temui-sherina,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Prabowo Mendarat di Bali Usai Kunker Qatar hingga Abu Dhabi,https://news.detik.com/berita/d-8110058/prabowo-mendarat-di-bali-usai-kunker-qatar-hingga-abu-dhabi,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Video K-Talk: Menjadi KPopers ala Dante @skipberat,https://20.detik.com/detikupdate/20250913-250913009/video-k-talk-menjadi-kpopers-ala-dante-skipberat,Tidak ada waktu,Tidak diketahui,https://cdnv.detik.com/videoservice/AdminTV/2025/09/13/357f6a88e5f04f52aab4c12d924c779c-20250913094607-0s.jpg?w=250&q=90,Tidak ada ringkasan
Video Sepenting Apa Asupan Suplemen untuk Tubuh? Ini Kata Apoteker,https://20.detik.com/detikupdate/20250913-250913007/video-sepenting-apa-asupan-suplemen-untuk-tubuh-ini-kata-apoteker,Tidak ada waktu,Tidak diketahui,https://cdnv.detik.com/videoservice/AdminTV/2025/09/13/f53777d56c85404ebc6d3a5a6380b15f-20250913083742-0s.jpg?w=250&q=90,Tidak ada ringkasan
"Video: Prabowo Bertemu Presiden MBZ, Bahas Geopolitik di Timur Tengah",https://20.detik.com/detikupdate/20250913-250913006/video-prabowo-bertemu-presiden-mbz-bahas-geopolitik-di-timur-tengah,Tidak ada waktu,Tidak diketahui,https://cdnv.detik.com/videoservice/AdminTV/2025/09/13/b331e72a80c04227b8c258c4512d24b3-20250913081003-0s.jpg?w=250&q=90,Tidak ada ringkasan
Manusia yang Hidup Menjadi Anjing Mau Bikin 'Kebun Binatang',https://inet.detik.com/cyberlife/d-8110012/manusia-yang-hidup-menjadi-anjing-mau-bikin-kebun-binatang,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Ancelotti Hanya Akan Bawa Neymar ke Piala Dunia jika...,https://sport.detik.com/sepakbola/bola-dunia/d-8110024/ancelotti-hanya-akan-bawa-neymar-ke-piala-dunia-jika,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Eko Patrio Pertama Muncul ke Publik Usai Rumah Dijarah,https://hot.detik.com/celeb/d-8109943/eko-patrio-pertama-muncul-ke-publik-usai-rumah-dijarah,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Video: Eks Ketua MA Sushila Karki Dilantik Jadi PM Sementara Nepal,https://20.detik.com/detikupdate/20250913-250913015/video-eks-ketua-ma-sushila-karki-dilantik-jadi-pm-sementara-nepal,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Hati-hati! Ini Sederet Pemicu Ledakan di Rumah,https://www.detik.com/properti/tips-dan-panduan/d-8109712/hati-hati-ini-sederet-pemicu-ledakan-di-rumah,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
7 Bacaan Sujud dalam Salat yang Diajarkan Rasulullah SAW,https://www.detik.com/hikmah/khazanah/d-8109952/7-bacaan-sujud-dalam-salat-yang-diajarkan-rasulullah-saw,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Tahu Campur Pak Subari, Kuliner Legendaris di Fatmawati yang Tak Pernah Sepi",https://food.detik.com/warung-makan/d-8109787/tahu-campur-pak-subari-kuliner-legendaris-di-fatmawati-yang-tak-pernah-sepi,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Andika Terpilih Jadi Koordinator PPI Dunia, Seriusi Isu Perlindungan Pelajar",https://www.detik.com/edu/edutainment/d-8110027/andika-terpilih-jadi-koordinator-ppi-dunia-seriusi-isu-perlindungan-pelajar,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"KLM Maryam Indah Terbakar di Perairan Luwuk, 1 Orang Tewas-2 Hilang",https://www.detik.com/sulsel/berita/d-8110015/klm-maryam-indah-terbakar-di-perairan-luwuk-1-orang-tewas-2-hilang,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Polisi Bongkar Perdagangan Daging Anjing di Rohil, 1 Tersangka Ditangkap",https://news.detik.com/melindungi-tuah-marwah/d-8110059/polisi-bongkar-perdagangan-daging-anjing-di-rohil-1-tersangka-ditangkap,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Prabowo ke Doha: Solidaritas Nyata Indonesia untuk Qatar-Gaza,https://news.detik.com/kolom/d-8110056/prabowo-ke-doha-solidaritas-nyata-indonesia-untuk-qatar-gaza,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Andre Rosiade Sambangi Kepala BGN, Dorong Percepatan Pembangunan SPPG di Sumbar",https://news.detik.com/berita/d-8110055/andre-rosiade-sambangi-kepala-bgn-dorong-percepatan-pembangunan-sppg-di-sumbar,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Pemotor Ugal-ugalan yang Pukuli Polantas di Jakpus Diduga Gangguan Jiwa,https://news.detik.com/berita/d-8110052/pemotor-ugal-ugalan-yang-pukuli-polantas-di-jakpus-diduga-gangguan-jiwa,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Gempa M 7,4 Picu Peringatan Tsunami, Rusia Imbau Warganya Waspada",https://news.detik.com/internasional/d-8110049/gempa-m-7-4-picu-peringatan-tsunami-rusia-imbau-warganya-waspada,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Pemkot Bogor Rencanakan Jembatan Paledang-Pasir Jaya Dibangun 2026,https://news.detik.com/berita/d-8110048/pemkot-bogor-rencanakan-jembatan-paledang-pasir-jaya-dibangun-2026,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
"Ini 12 Lapas di Pulau Nusakambangan, Ada 4 Level Keamanan",https://news.detik.com/berita/d-8110047/ini-12-lapas-di-pulau-nusakambangan-ada-4-level-keamanan,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
Video: Polisi Rilis Tampang Pembunuh Charlie Kirk,https://20.detik.com/detikupdate/20250913-250913013/video-polisi-rilis-tampang-pembunuh-charlie-kirk,Tidak ada waktu,Tidak diketahui,Tidak ada gambar,Tidak ada ringkasan
